PosX,PosY,PosZ,H(0.0-1.0),S(0.0-1.0),L(0.0-1.0),R(0-255),G(0-255),B(0-255),RGB(16)
-0.04587463,0.06666672,-0.03661075,0.1428,0.05882353,0.5333334,143,141,129,8f8d81
-0.7393295,0.02352941,-0.6729326,0.1324771,1,0.5117647,255,203,5,ffcb05
-0.04159827,0.482353,-0.3826445,0.01723446,0.4393939,0.7411765,218,166,160,daa6a0
-0.3262648,-0.1058823,-0.6657768,0.07252006,0.7456141,0.4470588,199,103,28,c7671c
-0.2010081,-0.4588235,-0.1394907,0.1534474,0.2753623,0.2705882,88,85,50,585532
0.03318412,0.4627452,-0.09121223,0.9444667,0.1094891,0.7313726,194,179,184,c2b3b8
0,0.8705883,0,1,0,0.9352942,238,238,238,eeeeee
-0.005529971,0.2901962,-0.07911363,0.01110672,0.08287293,0.6450981,172,158,157,ac9e9d
0.09075793,0.5764706,0.1572734,0.5833,0.2222222,0.7882353,189,201,213,bdc9d5
0.04439086,0.5568628,0.08461946,0.5768923,0.1150443,0.7784314,192,199,205,c0c7cd
-0.03035334,0.4156864,-0.003188984,0.23334,0.03355705,0.7078432,181,183,178,b5b7b2
-0.6416297,-0.172549,-0.7473541,0.112909,1,0.4137255,211,143,0,d38f00
-0.02829232,0.3137255,-0.1877834,0.02380002,0.2,0.6568627,185,154,149,b99a95
-0.07799435,0.6196079,-0.09300275,0.1110667,0.1546392,0.809804,214,209,199,d6d1c7
0.03677071,0.2627451,0.09583298,0.55831,0.106383,0.6313726,151,164,171,97a4ab
-0.01623329,0.8823529,-0.06060881,0.04165004,0.1333333,0.9411765,242,239,238,f2efee
-0.5515329,-0.4078431,-0.6970601,0.1065333,0.97351,0.2960784,149,96,1,956001
0.07486648,0.5411766,0.07757421,0.6221733,0.1282051,0.7705883,189,193,204,bdc1cc
-0.2991506,-0.05882353,-0.6315168,0.07040832,0.7,0.4705882,204,106,36,cc6a24
-0.2602581,-0.545098,-0.2711235,0.1217461,0.4482758,0.227451,84,70,32,544620
-0.04494601,0.5411766,-0.276676,0.02563081,0.3333333,0.7705883,216,183,177,d8b7b1
-0.01487066,0.654902,-0.008593887,0.1666,0.02272727,0.827451,212,212,210,d4d4d2
0.08781466,0.7490196,0.08786986,0.62495,0.1875,0.8745098,217,220,229,d9dce5
-0.2779018,-0.03921568,-0.6307593,0.06604853,0.6897959,0.4803922,207,105,38,cf6926
0.09212896,0.3921568,0.1163018,0.606624,0.1612903,0.6960784,164,173,190,a4adbe
0.111695,0.6156863,0.1767197,0.5897077,0.2653061,0.8078431,193,205,219,c1cddb
-0.6493099,-0.1254902,-0.7500992,0.113557,1,0.4372549,223,152,0,df9800
-0.1100653,0.4470589,-0.131245,0.1110667,0.1914894,0.7235295,198,189,171,c6bdab
-0.5916664,-0.1803921,-0.7259645,0.1088341,0.9521531,0.4098039,204,134,5,cc8605
-0.2259028,0.2196078,-0.3145861,0.09911651,0.3969849,0.6098039,195,163,115,c3a373
-0.1531709,-0.4196078,-0.04434776,0.2051462,0.1756757,0.2901961,80,87,61,50573d
-0.747964,0.04705882,-0.6495988,0.1361834,0.9917696,0.5235294,254,210,12,fed20c
-0.6000642,-0.2509804,-0.7595603,0.1064146,1,0.3745098,191,121,0,bf7900
